route_id,service_id,trip_id
28,8,36178
28,2,36172
33,8,40308
33,9,40309
22,9,39379
33,2,40302
54,8,38198
50,3,28503
18,2,40092
54,2,38192
50,9,28509
15,9,37199
15,8,37198
53,8,38758
53,9,38759
54,8,38288
22,13,395213
53,2,38752
15,2,37192
57,2,33982
57,3,33983
38,2,33232
38,3,33233
15,9,37209
15,8,37208
38,8,33238
38,9,33239
57,8,33988
52,2,29292
15,2,37202
48,8,31588
2,8,23078
44,2,40232
50,9,28349
2,2,23072
48,3,28023
44,8,40238
48,2,31662
54,2,38282
22,8,39378
22,3,39373
22,2,39372
22,8,39578
57,2,34082
57,3,34083
22,9,39579
52,2,29122
50,9,28439
48,2,31582
48,3,31583
50,3,28433
22,3,39573
22,2,39572
48,9,31669
48,8,31748
48,8,31668
22,13,394613
48,2,31742
48,3,31743
50,13,287313
50,3,28343
48,2,31562
48,3,31563
3,8,23678
56,13,337113
48,8,31568
50,9,28389
52,8,29128
54,2,38372
28,2,35912
50,3,28233
54,8,38378
54,9,38379
50,9,28239
28,8,35918
22,9,39489
22,8,39488
50,9,28729
54,2,38172
50,3,28723
22,3,39483
22,2,39482
54,8,38178
54,9,38179
8,2,32482
3,8,23498
44,2,22652
38,3,33073
8,8,32488
48,9,31749
44,8,22658
3,2,23492
2,2,23252
3,8,23708
2,8,23258
3,2,23702
22,3,39153
22,2,39152
8,2,32802
8,8,32808
22,9,39159
22,8,39158
28,2,35862
2,2,23382
50,3,28653
22,3,39393
22,2,39392
2,8,23388
28,8,35868
22,9,39399
22,8,39398
50,9,28659
3,8,23778
38,9,33079
8,8,32668
53,9,38979
8,2,32662
3,2,23672
3,8,23818
48,8,31968
48,9,31969
48,2,31962
48,3,31963
3,2,23812
8,2,32242
53,2,39022
20,8,25638
8,8,32248
53,8,39028
20,2,25632
28,8,36438
20,2,25412
22,13,396113
20,8,25418
53,2,38992
45,8,22728
20,2,25382
53,8,38998
53,9,38999
48,9,31569
45,2,22722
20,8,25388
48,2,31812
48,3,31813
45,2,23922
45,8,23928
48,8,31818
48,9,31819
46,8,36598
18,3,39973
3,8,23908
18,7,39977
55,13,329213
38,8,33218
20,2,25562
28,2,36362
45,2,32112
22,13,397513
28,8,36368
20,8,25568
22,13,392013
45,8,32118
44,8,40188
22,13,390713
4,8,36968
4,2,36962
22,9,39809
22,8,39808
22,3,39803
22,2,39802
54,8,38578
54,9,38579
57,9,34109
46,8,36568
54,2,38572
46,2,36562
18,11,274111
18,13,274113
4,8,36768
4,8,36818
4,2,36812
4,2,36762
38,3,33083
38,2,33082
46,2,36582
50,13,285813
18,2,40152
56,7,33737
38,8,33088
46,8,36588
56,2,33732
52,8,29358
54,9,38619
54,8,38618
52,2,29352
54,2,38612
15,2,37362
2,2,23172
22,3,39713
22,2,39712
28,8,36108
50,9,28339
28,2,36102
22,9,39669
56,2,33882
56,7,33887
50,9,28539
50,3,28533
50,9,28489
53,9,38769
53,8,38768
22,13,395113
22,3,39623
22,2,39622
53,2,38762
15,2,37182
22,8,39628
52,8,29288
57,9,34039
15,8,37218
46,2,36612
52,2,29282
15,2,37212
46,8,36618
44,2,40202
15,9,37259
50,13,285613
44,8,40208
50,13,284213
22,8,39368
22,9,39369
18,13,398613
57,3,33953
57,2,33952
22,2,39362
22,3,39363
57,9,33959
57,8,33958
52,2,29132
22,8,39568
22,9,39569
50,3,28403
22,2,39562
22,3,39563
48,9,31779
48,8,31778
33,2,40332
48,3,31773
48,2,31772
33,9,40339
33,8,40338
3,2,23662
48,2,31552
57,3,34053
57,2,34052
3,8,23668
48,8,31558
57,9,34059
57,8,34058
55,9,32929
22,13,393113
15,9,37099
48,3,31483
48,2,31482
50,3,28713
54,8,38388
28,8,35908
48,8,31488
50,9,28719
54,2,38382
54,2,38142
22,8,39498
57,8,34188
2,2,23062
22,2,39492
22,3,39493
54,9,38149
54,8,38148
2,8,23068
44,2,22622
8,8,32478
3,8,23488
44,8,22628
3,2,23482
8,2,32472
2,2,23312
2,8,23248
3,8,23718
50,13,282113
3,2,23712
2,2,23242
22,2,39142
22,3,39143
22,8,39148
22,9,39149
2,2,23392
22,2,39382
22,3,39383
51,8,28888
2,8,23398
51,2,28882
28,2,35872
22,9,39389
8,8,32618
22,13,397213
8,2,32612
8,8,32588
48,3,31953
48,2,31952
52,2,28862
9,7,26287
8,2,32582
9,2,26282
48,9,31959
48,8,31958
3,8,23808
43,13,263813
33,9,26449
33,8,26448
3,2,23802
22,9,39099
33,2,26442
20,8,25628
53,8,39038
53,9,39039
8,8,32278
20,2,25622
8,2,32272
53,2,39032
20,2,25402
20,8,25408
52,2,32962
45,8,22758
20,2,25392
53,9,38969
53,8,38968
20,8,25398
45,2,22752
53,2,38962
48,3,31823
48,2,31822
22,9,39529
45,2,23932
48,9,31829
48,8,31828
45,8,23938
22,13,396613
20,2,25712
22,13,391913
20,8,25718
18,7,39967
8,8,32418
28,2,36372
45,2,32122
20,8,25578
50,13,281613
28,8,36378
45,8,32128
57,8,34028
20,2,25572
48,9,31739
54,8,38308
48,9,31539
9,7,26267
9,2,26262
22,13,397013
52,8,29408
54,8,38558
54,2,38542
48,9,32019
53,2,38812
18,7,39817
53,9,38819
53,8,38818
54,9,38549
54,8,38548
46,8,36578
54,9,38419
46,2,36572
53,8,38908
18,7,16967
4,8,36808
4,8,36778
4,2,36802
4,2,36772
38,8,33128
46,2,36592
38,9,33099
38,9,33129
56,7,33727
56,2,33722
38,2,33092
38,3,33093
54,8,38608
54,9,38609
54,2,38602
43,13,264313
22,8,39708
22,9,39709
15,9,37429
15,8,37428
46,8,37358
22,2,39702
22,3,39703
46,2,37352
15,2,37422
28,8,36118
4,2,36972
28,2,36112
48,9,31889
4,8,36978
28,8,36468
54,2,38412
50,13,285113
50,9,28529
53,2,38772
56,13,338813
50,3,28523
53,8,38778
53,9,38779
48,9,31699
50,13,284513
22,2,39632
22,3,39633
22,13,391313
22,8,39638
22,9,39639
15,9,37229
15,8,37228
46,2,36602
48,3,31883
18,2,40142
15,2,37222
46,8,36608
44,8,40218
44,2,40212
57,2,33942
57,3,33943
50,3,28413
50,9,28289
48,3,31693
50,9,28419
57,8,33948
57,9,33949
22,9,39559
22,8,39558
48,2,31762
48,3,31763
22,3,39553
22,2,39552
48,8,31768
48,9,31769
52,2,29382
33,2,40322
56,7,33897
52,8,29438
56,2,33892
33,8,40328
33,9,40329
52,8,29388
52,2,29432
18,13,399913
18,11,399911
57,2,34042
57,3,34043
3,8,23658
50,13,282213
3,2,23652
48,2,31542
2,2,23122
48,3,31533
48,2,31492
50,3,28253
50,3,28703
57,2,34192
57,3,34193
50,9,28709
48,8,31498
50,9,28259
54,2,38392
57,9,34199
54,8,38158
54,9,38159
53,9,35329
54,2,38152
44,2,22632
8,8,32468
9,13,262913
44,8,22638
50,13,286913
8,2,32462
50,13,286113
2,8,23238
3,8,23728
3,2,23722
2,2,23232
53,9,39029
51,8,28898
38,9,33089
50,9,28679
51,2,28892
50,3,28673
50,13,287513
48,2,31942
48,3,31943
51,2,28872
3,2,23832
2,2,23342
8,2,32592
48,9,31949
9,2,26292
2,8,23348
51,8,28878
3,8,23838
22,13,392813
48,9,31609
53,9,39049
53,8,39048
48,8,31608
53,2,39042
8,2,32732
57,9,34149
8,8,32738
48,3,31603
45,8,22748
8,2,32282
20,8,25368
53,8,38978
48,2,28042
45,2,22742
53,2,38972
8,8,32288
20,2,25362
3,2,23902
48,8,31838
4,8,36688
54,2,38522
48,2,31832
48,3,31833
33,9,40249
54,9,38519
48,3,31463
9,13,262813
18,7,39957
38,8,33018
18,3,39953
54,8,38528
20,8,25508
45,8,32138
28,8,36348
20,2,25502
28,2,36342
45,2,32132
57,9,34049
22,13,393813
9,7,26277
9,2,26272
48,9,31469
54,2,38552
22,13,396313
53,2,38802
18,3,39823
54,9,38559
18,7,39827
53,8,38808
53,9,38809
56,13,337313
28,8,36298
4,8,36748
4,2,36742
28,2,36292
56,2,33712
56,7,33717
22,3,39733
22,2,39732
22,9,39739
22,8,39738
15,8,37348
15,9,37349
28,2,36122
15,8,37438
15,9,37439
15,2,37342
15,2,37432
28,8,36128
4,2,36902
38,9,33159
38,8,33158
4,8,36908
38,3,33153
38,2,33152
18,2,40042
53,2,38702
48,8,31548
53,9,38709
53,8,38708
22,3,39603
22,2,39602
50,13,298413
15,2,37232
22,9,39609
22,8,39608
15,8,37238
15,9,37239
46,2,36632
48,9,31549
48,9,31639
46,8,36638
33,9,40269
33,8,40268
18,11,398411
51,8,29038
22,13,395313
33,2,40262
57,3,33973
57,2,33972
50,3,28463
22,2,39542
22,3,39543
50,9,28469
57,9,33979
57,8,33978
22,8,39548
22,9,39549
22,13,394313
48,3,31713
48,2,31712
50,13,282713
48,9,31719
48,8,31718
54,8,38358
54,9,38359
52,8,29398
52,8,29428
52,2,29422
52,2,29392
3,8,23648
57,2,34072
2,8,23138
54,9,38269
3,2,23642
48,2,31532
2,2,23132
57,8,34158
33,9,40259
53,8,38878
50,9,28269
50,3,28263
2,2,23292
54,9,38129
54,8,38128
48,9,31629
48,8,31628
54,2,38122
48,3,31623
48,2,31622
8,8,32458
50,3,28283
44,8,22608
8,2,32452
3,8,23738
44,2,22602
2,8,23228
2,2,23222
50,9,28609
28,8,35818
54,2,38232
28,2,35812
50,3,28603
54,9,38239
54,8,38238
50,13,286813
22,13,392313
45,2,28842
3,2,23822
2,2,23352
3,8,23828
45,8,28848
2,8,23358
53,8,39058
48,8,31998
55,3,32923
55,2,32922
8,2,32702
8,8,32708
53,9,38949
53,8,38948
20,8,25378
50,13,287013
53,2,38942
20,2,25372
48,3,31543
48,8,31848
3,8,23918
48,3,31843
48,2,31842
3,2,23912
18,13,399113
8,2,32632
8,8,32638
22,13,396013
54,2,38492
54,9,38499
54,8,38498
18,7,39947
28,8,36358
44,8,32148
20,8,25518
51,2,32942
20,2,25512
28,2,36352
44,2,32142
22,13,396813
22,9,39079
18,7,39837
53,2,38832
53,9,38839
53,8,38838
22,9,39179
4,2,36752
4,8,36758
56,7,33877
28,8,36288
28,2,36282
48,8,31658
48,9,31659
48,3,31553
22,2,39722
22,3,39723
22,8,39728
22,9,39729
8,2,32532
28,2,36132
15,8,37408
28,8,36138
15,2,37402
53,9,39059
4,2,36912
22,9,39589
38,8,33148
38,9,33149
4,8,36918
54,9,38509
38,2,33142
38,3,33143
15,2,37392
50,13,285913
48,3,31653
15,9,37449
15,9,37399
15,8,37398
18,2,40052
33,9,40299
53,2,38712
45,8,32098
51,8,29098
53,8,38718
53,9,38699
51,2,29092
22,13,393213
15,9,37159
15,2,37242
22,8,39618
52,8,29258
15,8,37158
15,9,37249
15,8,37248
18,11,399111
22,2,39612
22,3,39613
18,2,40122
56,7,33707
46,8,36628
15,2,37082
56,2,33702
53,8,38928
46,2,36622
15,8,37088
33,8,40278
33,9,40279
54,2,38472
33,2,40272
50,3,28473
22,3,39533
22,2,39532
57,8,33968
57,9,33969
22,9,39539
22,8,39538
50,9,28479
57,2,33962
57,3,33963
48,2,31702
48,3,31703
57,9,34229
48,8,31708
48,9,31709
52,8,29418
43,13,264113
9,13,263313
52,2,29412
54,9,38479
57,3,34073
48,8,31528
2,8,23108
57,8,34068
57,9,34069
48,8,31538
48,2,31522
48,3,31523
22,13,394813
57,2,34062
57,3,34063
57,9,34179
22,9,39289
22,8,39288
22,3,39283
22,2,39282
50,9,28279
22,9,39449
22,8,39448
50,3,28273
22,3,39443
22,2,39442
54,8,38138
54,9,38139
48,8,31638
57,3,34173
54,2,38132
48,2,31632
48,3,31633
44,8,22618
3,2,23742
50,3,28293
3,8,23748
44,2,22612
22,13,393013
2,8,23218
8,8,26508
3,2,23582
8,2,26502
28,2,35942
3,8,23588
8,8,32848
22,9,39199
22,8,39198
28,2,35822
22,3,39193
22,2,39192
8,2,32842
22,13,398013
28,8,35828
50,9,28619
54,2,38222
48,9,31559
50,3,28613
54,8,38228
54,9,38229
22,13,394413
2,2,23362
48,9,31839
51,8,28858
50,13,283013
22,13,395813
2,8,23368
51,2,28852
3,2,23692
53,2,39062
51,2,32932
3,8,23698
51,8,32938
53,9,39069
53,8,39068
8,2,32442
22,2,39262
8,8,32448
22,8,39268
8,8,32718
53,2,38952
53,8,38958
53,9,38959
8,2,32712
20,8,25698
20,8,25348
20,2,25342
20,2,25692
50,13,286713
45,8,23968
48,8,31858
48,9,31859
43,13,263913
48,2,31852
48,3,31853
45,2,23962
54,8,38248
22,3,39653
54,9,38249
22,13,396713
54,2,38482
20,2,25522
54,8,38488
54,9,38489
20,8,25528
44,8,32158
22,9,39659
44,2,32152
50,13,287713
50,13,283513
22,9,39719
18,3,39843
18,7,39847
22,8,39718
20,2,25232
53,8,38828
53,9,38829
20,8,25238
50,13,281713
53,2,38822
4,2,36722
4,8,36728
48,8,32008
15,8,37368
15,9,37369
15,2,37412
15,8,37418
15,9,37419
18,3,39993
18,7,39997
3,2,23732
54,9,38339
28,2,36382
38,9,33179
38,8,33178
44,8,22708
4,8,36928
38,3,33173
38,2,33172
28,8,36388
4,2,36922
28,2,36432
15,8,37388
15,9,37389
18,2,40062
15,2,37382
51,8,29088
53,9,38729
53,8,38728
51,2,29082
22,9,39239
53,2,38722
15,2,37252
22,8,39668
43,13,264213
52,8,29248
22,3,39663
22,2,39662
52,2,29242
15,2,37092
45,2,33772
15,8,37098
45,8,33778
18,2,40112
22,2,39522
22,3,39523
50,9,28449
22,8,39528
56,2,33912
50,3,28443
56,7,33917
50,13,284413
52,2,29402
48,8,31738
48,3,31733
48,2,31732
50,13,284113
57,9,34019
57,8,34018
20,8,30028
57,3,34013
57,2,34012
20,2,30022
22,8,39298
22,9,39299
38,3,33823
38,2,33822
22,2,39292
22,3,39293
38,9,33829
38,8,33828
36,2,38102
22,8,39458
22,9,39459
22,2,39452
22,3,39453
36,8,38108
50,9,28599
48,9,28049
48,8,28048
51,2,29062
33,2,40242
48,3,28043
48,2,31602
50,3,28593
51,8,29068
33,8,40248
3,2,23752
48,2,31462
2,2,23202
51,8,28918
57,3,34123
57,2,34122
2,8,23208
3,8,23758
48,8,31468
57,9,34129
57,8,34128
51,2,28912
3,2,23592
22,2,39182
22,3,39183
3,8,23598
50,13,283713
22,8,39188
22,9,39189
28,2,35832
50,3,28623
28,8,35838
50,9,28629
54,2,38212
48,3,31513
48,2,31512
2,2,23112
22,13,394113
22,13,393313
54,9,38219
54,8,38218
2,8,23118
48,9,31519
48,8,31518
50,13,286013
44,2,22572
8,8,32548
44,8,22578
8,2,32542
51,8,29048
48,9,31999
43,2,26402
2,8,23378
43,7,26407
48,3,31993
48,2,31992
18,13,398413
2,2,23372
22,2,39072
22,3,39073
3,8,23688
15,8,37188
22,13,397813
22,8,39078
51,8,32948
15,9,37189
3,2,23682
8,2,32432
22,2,39272
22,3,39273
8,8,32438
22,8,39278
22,9,39279
8,8,32768
53,2,38922
53,9,38929
45,2,32092
8,2,32762
54,8,38428
20,8,25688
48,3,31863
48,2,31862
20,2,25682
48,9,31869
48,8,31868
45,8,23978
45,2,23972
9,7,26317
9,2,26312
8,8,32388
8,2,32382
20,2,25532
8,2,32162
20,8,25538
15,9,37219
8,8,32168
18,11,400111
18,13,400113
22,13,392513
50,13,284713
18,7,39857
22,13,390913
53,9,38859
53,8,38858
54,9,38589
54,8,38588
20,8,25228
54,2,38582
53,2,38852
20,2,25222
4,2,36732
22,13,393913
4,8,36738
50,13,283813
50,13,282813
55,13,386213
15,2,37462
22,13,396213
15,9,37469
15,8,37468
22,13,391513
38,2,33162
38,3,33163
18,7,39987
38,8,33168
54,8,38458
18,2,39982
22,9,39229
4,8,36938
28,8,36398
28,8,36428
4,2,36932
28,2,36422
28,2,36392
18,11,398611
38,8,33198
53,8,38738
53,9,38739
53,2,38732
22,3,39113
22,8,39678
52,8,29278
15,9,37269
15,8,37268
22,2,39672
22,3,39673
15,2,37262
46,8,36648
55,8,32928
15,9,37069
15,8,37068
46,2,36642
18,2,40102
15,2,37062
48,2,31672
46,8,36498
48,3,31673
15,9,37289
15,8,37288
53,2,39052
52,2,29182
22,9,39519
22,8,39518
56,2,33902
52,8,29188
50,3,28453
22,3,39513
56,7,33907
48,8,31728
48,9,31729
52,2,29472
52,8,29478
48,2,31722
48,3,31723
52,8,29138
18,2,40072
48,8,31678
57,8,34008
48,9,31679
56,13,336813
57,2,34002
57,3,34003
9,13,263113
54,9,38529
38,2,33832
38,3,33833
