route_id,service_id,trip_id,shape_id
52,2,29112,52O
48,3,31753,48L
48,2,31752,48L
48,3,31573,48L
48,2,31572,48L
53,9,33249,53O
3,8,23608,3L
48,8,31578,48L
57,9,33939, 
15,9,37299,15I0730
2,8,23288,2L
28,8,35928,28O
22,2,35142,22L
22,3,35143,22L
50,3,28223,50L
2,2,23282,2L
22,8,35148,22L
22,9,35149,22L
2,2,23462,2L
22,8,35218,22L
8,2,32492,8I
2,8,23468,2L
22,2,35212,22L
22,3,35213,22L
44,8,22648,44O
2,2,23262,2L
22,3,34633,22L
22,2,34632,22L
44,2,22642,44O
22,9,34639,22L
22,8,34638,22L
2,8,23268,2L
53,9,35809,53I
53,2,35322,53O
8,8,32818,8I
28,2,35852,28O
50,3,28643,50L
53,8,35328,53O
8,2,32812,8I
50,9,28649,50L
28,8,35858,28O
8,2,32672,8I
20,8,25738,20Lexp
8,8,32678,8I
20,2,25732,20Lexp
53,8,35458,53O
53,9,35459,53O
53,2,35452,53O
48,9,31979,48L
48,8,31978,48L
57,9,34119, 
3,8,23868,3L
54,9,37529,54I
18,7,27397,18O
48,3,31973,48L
48,2,31972,48L
18,2,27392,18O
3,2,23862,3L
20,2,25602,20Lexp
8,2,32252,8O
8,8,32258,8O
20,8,25608,20Lexp
20,2,25132,20Lexp
20,8,25138,20Lexp
28,8,36228,28I
44,8,32078,44I
20,8,25428,20L
22,3,34923,22L
20,2,25422,20L
28,2,36222,28I
44,2,32072,44I
50,3,28383,50L
48,3,31803,48L
48,2,31802,48L
48,9,31809,48L
48,8,31808,48L
22,9,34889,22L
53,2,35502,53O
38,8,33238,38O
20,2,25552,20Lexp
28,2,36312,28I
45,2,32102,45I
28,8,36318,28I
45,8,32108,45I
20,8,25558,20Lexp
54,8,37758,54O
8,8,32598,8O
53,9,35569,53I
38,8,33188,38O
38,9,33189,38O
28,8,36488,28I
4,8,36958,4L
38,2,33182,38O
38,3,33183,38O
4,2,36952,4L
28,2,36482,28I
48,8,31948,48L
53,9,35649,53I
46,2,36552,46L
28,2,36002,28O
54,8,37578,54I
28,8,36008,28O
54,2,37572,54I
46,8,36558,46L
4,2,36822,4L
4,2,36792,4L
4,8,36798,4L
4,8,36828,4L
3,8,23838,3L
22,8,34958,22L
22,9,34959,22L
54,2,37682,54O
52,8,29348, 
54,9,37689,54O
54,8,37688,54O
22,2,34952,22L
22,3,34953,22L
52,2,29342, 
15,2,37372,15I1035
18,11,275311,18I
15,9,37379,15I1035
15,8,37378,15I1035
28,8,36178,28I
28,2,36172,28I
50,3,28503,50L
18,7,27557,18I
50,9,28509,50L
15,9,37199,15O1520
15,8,37198,15O1520
15,2,37192,15O1520
57,2,33982, 
57,3,33983, 
38,2,33232,38O
38,3,33233,38O
15,9,37209,15O1520
15,8,37208,15O1520
54,9,37979,54O
54,8,37978,54O
22,2,34882,22L
22,3,34883,22L
57,8,33988, 
52,2,29292, 
54,2,37972,54O
15,2,37202,15O1520
48,8,31588,48L
2,8,23078,2L
50,9,28349,50L
2,2,23072,2L
48,3,28023,48L
48,2,31662,48L
54,2,37992,54O
54,9,37999,54O
54,8,37998,54O
57,2,34082, 
57,3,34083, 
52,2,29122,52O
50,9,28439,50L
48,2,31582,48L
48,3,31583,48L
50,3,28433,50L
52,8,29128,52O
48,9,31669,48L
18,2,29902,18O
48,8,31748,48L
48,8,31668,48L
48,2,31742,48L
48,3,31743,48L
50,3,28343,50L
48,2,31562,48L
48,3,31563,48L
3,8,23678,3L
22,3,35043,22L
22,2,35042,22L
28,2,35912,28O
50,3,28233,50L
50,9,28239,50L
28,8,35918,28O
22,3,35133,22L
22,2,35132,22L
22,9,35139,22L
50,3,28723,50L
22,9,35269,22L
22,8,35268,22L
8,2,32482,8I
53,8,35598,53I
3,8,23498,3L
44,2,22652,44O
8,8,32488,8I
53,2,35592,53I
22,3,35263,22L
22,2,35262,22L
44,8,22658,44O
3,2,23492,3L
2,2,23252,2L
22,2,34622,22L
3,8,23708,3L
2,8,23258,2L
3,8,23898,3L
22,8,34628,22L
3,2,23702,3L
15,9,37009,15O0655
8,2,32802,8I
8,8,32808,8I
28,2,35862,28O
2,2,23382,2L
50,3,28653,50L
53,9,35689,53I
53,8,35688,53I
2,8,23388,2L
28,8,35868,28O
53,2,35682,53I
50,9,28659,50L
3,8,23778,3L
8,8,32668,8I
53,2,35462,53O
8,2,32662,8I
53,8,35468,53O
3,2,23672,3L
53,2,35662,53I
22,9,35049,22L
53,9,35669,53I
53,8,35668,53I
22,8,35048,22L
3,8,23818,3L
48,8,31968,48L
48,9,31969,48L
48,2,31962,48L
48,3,31963,48L
3,2,23812,3L
8,2,32242,8O
20,8,25638,20Lexp
8,8,32248,8O
20,2,25632,20Lexp
28,8,36438,28I
20,2,25412,20L
20,8,25418,20L
45,8,22728,45O
20,2,25382,20L
48,9,31569,48L
45,2,22722,45O
20,8,25388,20L
50,9,28389,50L
48,2,31812,48L
48,3,31813,48L
45,2,23922,45I
45,8,23928,45I
48,8,31818,48L
48,9,31819,48L
46,8,36598,46L
18,7,27407,18O
20,2,25562,20Lexp
28,2,36362,28I
45,2,32112,45O
28,8,36368,28I
20,8,25568,20Lexp
45,8,32118,45O
4,8,36968,4L
4,2,36962,4L
54,2,37562,54I
54,8,37568,54I
54,9,37569,54I
57,9,34109, 
46,8,36568,46L
46,2,36562,46L
18,11,274111,18I
4,8,36768,4L
