stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
146,147,Miranda Ave @ Hillview Ave,37.404443,-122.145427,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=147
147,148,VA Hospital,37.404005,-122.14128,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=148
148,149,3375 Hillview,37.405029,-122.145653,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=149
150,151,Vi,37.43979644,-122.17570261,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=151
152,153,El Camino Real @ Serra St,37.429625,-122.15156,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=153
158,159,1500 Page Mill Rd,37.413995,-122.149751,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=159
160,160,Pasteur Dr North @ Sand Hill Rd,37.434271,-122.181231,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=160
161,161,Pasteur Dr South @ Sand Hill Rd,37.434186,-122.181619,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=161
167,163,Page Mill Rd @ Peter Coutts West,37.411855,-122.151519,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=163
168,164,Page Mill Rd @ Peter Coutts East,37.412171,-122.150933,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=164
169,165,El Camino Real @ Galvez St,37.436861,-122.159819,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=165
177,173,SLAC Central Lab,37.418011,-122.204163,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=173
179,175,SLAC Fire Station,37.417851,-122.205388,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=175
180,176,SLAC Kavli Bldg,37.4201,-122.205707,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=176
181,177,Campus Dr @ Li Ka Shing,37.430736,-122.176297,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=177
182,178,Campus Dr @ Cogen/Li Ka Shing,37.4305,-122.176032,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=178
184,180,Roth Wy @ Campus Dr,37.432292,-122.17266,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=180
185,154,Ardenwood Park & Ride lot,37.551357,-122.054825,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=154
188,183,Page Mill Rd @ El Camino Real,37.42261032,-122.1425451,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=183
189,184,Page Mill @ Hanover (RP),37.417493,-122.146876,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=184
190,185,Hillview Ave @ Porter Dr,37.408678,-122.146608,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=185
191,186,Hillview Ave @ Coyote Hill Rd W,37.401312,-122.145402,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=186
192,187,3431 Hillview Ave West,37.398543,-122.14441,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=187
193,188,1070 Arastradero Rd Side,37.394681,-122.146373,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=188
194,189,3495 Deer Creek Rd East,37.39409057,-122.1486518,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=189
195,190,3475 Deer Creek Rd East,37.395278,-122.149539,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=190
196,191,3475 Deer Creek Rd West,37.395463,-122.150006,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=191
197,192,3495 Deer Creek Rd West,37.393866,-122.148711,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=192
198,193,1070 Arastradero Rd Front,37.394153,-122.146616,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=193
199,194,3431 Hillview Ave,37.398935,-122.144397,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=194
200,195,Hillview Ave (East) @ Coyote Hill,37.402242,-122.145527,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=195
201,196,Porter Dr @ Hillview Ave,37.408784,-122.147473,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=196
202,197,Page Mill @ Hanover East (RP),37.417486,-122.146542,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=197
204,199,3145 Porter Dr,37.408737,-122.151617,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=199
211,206,Rosewood Hotel,37.420013,-122.211784,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=206
212,212,El Camino Real @ Safeway,37.450735,-122.177891,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=212
213,213,El Camino Real @ Staples,37.451559,-122.178719,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=213
214,214,Menlo Park Caltrain,37.454616,-122.182422,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=214
216,216,Palo Alto Transit Ctr Bus Depot,37.444115,-122.166435,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=216
217,217,El Camino Real @ Palo Alto Square,37.422582,-122.141474,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=217
218,218,El Camino Real @ Page Mill P&R,37.423427,-122.142365,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=218
219,219,El Camino Real @ Hansen Way,37.420571,-122.137604,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=219
220,220,El Camino Real @ Portage - Frys,37.421162,-122.138125,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=220
221,221,El Camino Real @ Maybell Ave,37.412124,-122.124914,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=221
222,222,El Camino Real @ El Camino Wy,37.412509,-122.1248,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=222
223,223,Calif. St @ San Antonio Shopping,37.405004,-122.108985,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=223
224,124,Showers Dr @ San Antonio Shopping,37.401294,-122.108099,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=124
225,224,Panama St @ Via Ortega / L-25,37.427581,-122.176485,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=224
227,226,Panama St @ Campus Dr,37.430676,-122.178398,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=226
228,227,Roth Way @ Lokey,37.432131,-122.172435,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=227
229,228,700 Welch Rd @ Barn and  LPCH,37.437169,-122.173735,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=228
230,229,Searsville Rd @ Fremont Rd,37.428731,-122.183352,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=229
234,232,Stanford West Bus Shelter,37.438915,-122.178588,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=232
235,240,Campus Dr @ Stock Farm Path,37.430286,-122.180234,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=240
236,241,Campus Dr @ Stock Farm Rd,37.429663,-122.180355,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=241
237,242,Page Mill Rd & Hansen St,37.418632,-122.145915,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=242
238,243,Page Mill Rd @ Hansen St,37.419166,-122.145134,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=243
239,244,Lucas MRI on Welch Road,37.433454,-122.179601,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=244
